,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
900,3.0,Lutzenberg,12,18.644444444444446,AR,Lutzenberg
901,2.0,Rehetobel,18,17.666666666666668,AR,Rehetobel
902,3.0,Reute (AR),7,272.32142857142856,AR,Reute
903,4.0,Wald (AR),23,11.345945945945946,AR,Wald
904,7.0,Walzenhausen,23,48.05555555555556,AR,Walzenhausen
905,8.0,Wolfhalden,19,591.088524590164,AR,Wolfhalden
906,55.0,Appenzell,79,379.78404255319145,AI,Appenzell
907,59.0,Gonten,108,242.12159685863878,AI,Gonten
908,60.0,Rüte,157,219.5055459272097,AI,Rüte
909,47.0,Schlatt-Haslen,100,320.27633053221285,AI,Schlatt-Haslen
910,17.0,Schwende,154,42.49990875912408,AI,Schwende
911,21.0,Oberegg,57,445.09368131868126,AI,Oberegg
912,16.0,Häggenschwil,32,162.9364,SG,Häggenschwil
913,32.0,Muolen,55,147.17205128205129,SG,Muolen
914,21.0,St. Gallen,53,103.90081081081082,SG,St. Gallen
915,20.0,Wittenbach,38,400.2649253731343,SG,Wittenbach
916,11.0,Berg (SG),20,134.64415584415585,SG,Berg
917,11.0,Eggersriet,35,44.116239316239316,SG,Eggersriet
918,3.0,Goldach,7,304.93958333333336,SG,Goldach
919,15.0,Mörschwil,35,233.07674418604648,SG,Mörschwil
920,8.0,Rorschacherberg,17,35.042857142857144,SG,Rorschacherberg
921,4.0,Steinach,17,26.865671641791046,SG,Steinach
922,3.0,Tübach,10,838.1944444444445,SG,Tübach
923,11.0,Untereggen,27,55.774193548387096,SG,Untereggen
924,1.0,Au (SG),8,14.285714285714286,SG,Au
925,9.0,Balgach,21,138.57602739726028,SG,Balgach
926,17.0,Berneck,23,402.365243902439,SG,Berneck
927,13.0,Diepoldsau,27,568.9319277108434,SG,Diepoldsau
928,2.0,St. Margrethen,12,83.9090909090909,SG,St. Margrethen
929,8.0,Thal,20,24.74342105263158,SG,Thal
930,45.0,Altstätten,118,250.9207729468599,SG,Altstätten
931,7.0,Eichberg,14,127.76249999999999,SG,Eichberg
932,11.0,Marbach (SG),18,118.07575757575758,SG,Marbach
933,22.0,Oberriet (SG),99,126.7931880108992,SG,Oberriet
934,5.0,Rebstein,9,323.5833333333333,SG,Rebstein
935,10.0,Rüthi (SG),16,371.2409836065574,SG,Rüthi
936,2.0,Buchs (SG),24,187.04945054945054,SG,Buchs
937,34.0,Gams,74,93.79354243542436,SG,Gams
938,39.0,Grabs,112,50.10780487804878,SG,Grabs
939,25.0,Sennwald,75,113.72283018867924,SG,Sennwald
940,12.0,Sevelen,41,232.4620253164557,SG,Sevelen
941,7.0,Wartau,55,29.61774193548387,SG,Wartau
942,7.0,Bad Ragaz,17,155.13161764705885,SG,Bad Ragaz
943,30.0,Flums,121,79.97257709251102,SG,Flums
944,34.0,Mels,129,88.02891832229581,SG,Mels
945,10.0,Pfäfers,63,37.556306306306304,SG,Pfäfers
